"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ko:K20941",1.17665997428147,0.714776045041622,2.16200805008322,0.330607485487443,0.740940991297173,NA
"ko:K19820",1.48072546182423,-0.651231005261157,1.9742655557762,-0.329859883011088,0.741505837152493,0.854275361127318
"ko:K11745",1.38236488421459,-0.586556347437288,1.78200410695852,-0.329155440858331,0.742038201008909,NA
"ko:K10012",4.00244869533647,0.308691295512882,0.938144510637742,0.329044504351506,0.742122049649688,0.854730932032316
"ko:K14446",34.2612968493816,0.162405109095952,0.493861955057267,0.328847175679121,0.742271203255937,0.854730932032316
"ko:K16705",0.342705975996123,-1.13172461997983,3.44476490784106,-0.32853464612455,0.74250745284468,NA
"ko:K00960",0.57354593211376,1.10867919193522,3.37979197434969,0.328031784307833,0.74288763067484,NA
"ko:K11004",5.75479549179546,0.35734921389537,1.09056585199278,0.327673210418601,0.743158761040148,0.855539769498386
"ko:K18286",3.89798953164457,-0.34712080684482,1.06094515755303,-0.327180725953282,0.743531197835382,0.855755333797584
"ko:K03818",0.349137231636911,-1.12622128791729,3.44499637156657,-0.326915086823488,0.74373210987752,NA
"ko:K10242",8.17645272078567,0.317585383359108,0.97216203499312,0.326679475156995,0.743910325714429,0.855978489822305
"ko:K08697",1.91469496657569,0.634251026486845,1.95033188036093,0.325201588956988,0.745028506173846,0.856981032043513
"ko:K11891",18.8257925522441,-0.178323553992593,0.548698837719386,-0.324993496858455,0.745185993534094,0.856981032043513
"ko:K03284",36.4929069477789,-0.114232918982271,0.35171024441946,-0.324792697383114,0.745337971820576,0.856981032043513
"ko:K09912",0.344462773643905,-1.11736399798334,3.4453707091539,-0.324308787734988,0.745704267274256,NA
"ko:K07039",5.37642410504783,0.256065751525175,0.791907563560103,0.323353082238544,0.746427857455084,0.858020678930334
"ko:K05875",12.0175184900995,0.429447006134837,1.333050328263,0.322153632934788,0.747336308994996,0.858851301632896
"ko:K07008",0.325786920454099,-1.02656348528313,3.18686628208576,-0.322123175061886,0.747359382075323,NA
"ko:K10213",0.325786920454099,-1.02656348528313,3.18686628208576,-0.322123175061886,0.747359382075323,NA
"ko:K02281",3.24351691319529,-0.370307088572958,1.1512057996776,-0.321668887245587,0.747703550473093,0.859059698343153
"ko:K03586",0.860318898170639,0.982273243104359,3.05487693086764,0.321542656327361,0.747799191934666,NA
"ko:K17226",6.86920031541811,0.252844060463477,0.78672865808541,0.321386615149879,0.747917425119966,0.859091827362506
"ko:K02338",131.824758047984,0.0740111677399698,0.230600067431434,0.320950329999257,0.748248032031472,0.859116904441037
"ko:K07226",1.99593351820995,-0.416746509639625,1.29881336524695,-0.320867124400423,0.748311088590169,0.859116904441037
"ko:K17285",41.5765296584373,0.114161593305541,0.356237455431624,0.320464879716874,0.748615949569697,0.859253428455432
"ko:K10194",0.677140558225777,0.859322159678695,2.68245448027863,0.320349204803444,0.748703626787979,NA
"ko:K05593",0.33917119449685,-1.10390151012095,3.44594397997991,-0.320348071975153,0.748704485445132,NA
"ko:K21178",0.33917119449685,-1.10390151012095,3.44594397997991,-0.320348071975153,0.748704485445132,NA
"ko:K00132",18.2380088862837,0.204930709633168,0.640468899004109,0.319969806421238,0.74899121924002,0.85947067894416
"ko:K16783",0.346219571291688,-1.10245573456504,3.44600585545133,-0.319922768796529,0.749026877244134,NA
"ko:K02164",0.477485250699644,1.11541193944452,3.49204768932653,0.31941486448017,0.749411940506165,NA
"ko:K21214",0.477485250699644,1.11541193944452,3.49204768932653,0.31941486448017,0.749411940506165,NA
"ko:K01768",171.425621969167,-0.131306026584953,0.411164312881035,-0.319351710426642,0.749459824574222,0.859670976829314
"ko:K06442",13.1841674161541,0.185175294320332,0.580034394664663,0.31924881700746,0.749537841515972,0.859670976829314
"ko:K07061",0.33835106797125,-1.09930315430577,3.4461409872688,-0.318995409174194,0.749729994022867,NA
"ko:K07655",0.33835106797125,-1.09930315430577,3.4461409872688,-0.318995409174194,0.749729994022867,NA
"ko:K12205",0.33835106797125,-1.09930315430577,3.4461409872688,-0.318995409174194,0.749729994022867,NA
"ko:K03780",2.44947996454151,0.430860507665474,1.35105005839403,0.318907878348808,0.749796369959652,0.859689642926034
"ko:K05898",0.341976759054444,-1.09847597268894,3.44617649111204,-0.318752093957463,0.749914508181544,NA
"ko:K08983",0.341976759054444,-1.09847597268894,3.44617649111204,-0.318752093957463,0.749914508181544,NA
"ko:K03324",10.766359751337,0.215628654954699,0.676510319830568,0.318736682403757,0.749926195766034,0.859689642926034
"ko:K04072",1.53137198139949,-0.638912817289861,2.01404428305156,-0.317228783233017,0.751070011098725,0.860681229104905
"ko:K00166",50.1468170443816,0.108166752149204,0.341238942438348,0.316982438687362,0.751256927564309,0.860681229104905
"ko:K04496",0.28677296605688,1.11750877956664,3.52644860311307,0.316893539460671,0.751324384354423,NA
"ko:K05913",0.28677296605688,1.11750877956664,3.52644860311307,0.316893539460671,0.751324384354423,NA
"ko:K08092",0.340678798991463,1.11750877956664,3.52644860311307,0.316893539460671,0.751324384354423,NA
"ko:K15016",0.28677296605688,1.11750877956664,3.52644860311307,0.316893539460671,0.751324384354423,NA
