ko;RNA_PA_A_T1_insitu;RNA_PA_A_T1_plant;RNA_PA_A_T3_insitu;RNA_PA_A_T3_plant;RNA_SG_A_T1_insitu;RNA_SG_A_T1_plant;RNA_SG_A_T3_insitu;RNA_SG_A_T3_plant
ko:K00882;53;22;11;14;7;9;6;8
ko:K00883;4;6;2;7;0;0;0;0
ko:K00884;8;2;9;0;1;0;0;0
ko:K00885;0;0;1;4;1;0;0;0
ko:K00886;18;11;12;5;4;18;13;10
ko:K00887;5;1;5;5;2;0;0;0
ko:K00891;35;7;32;43;7;9;4;3
ko:K00892;0;0;4;4;0;0;0;0
ko:K00893;0;0;0;0;0;0;0;0
ko:K00895;6;7;5;7;10;6;4;13
ko:K00897;5;2;0;0;0;0;0;0
ko:K00899;2;0;2;0;0;0;0;0
ko:K00901;23;23;13;7;6;3;0;6
ko:K00903;7;0;24;42;1;2;2;1
ko:K00906;13;13;4;9;13;2;0;7
ko:K00912;25;13;25;28;2;2;2;6
ko:K00917;7;4;5;1;1;2;0;0
ko:K00918;0;0;0;0;0;0;0;0
ko:K00919;57;57;39;53;36;33;13;16
ko:K00925;24;40;8;24;40;31;11;2
ko:K00926;34;41;5;3;24;10;3;5
ko:K00927;319;289;83;161;86;46;50;27
ko:K00928;240;179;127;186;102;57;44;46
