ko;RNA_PA_A_T1_insitu;RNA_PA_A_T1_plant;RNA_PA_A_T3_insitu;RNA_PA_A_T3_plant;RNA_SG_A_T1_insitu;RNA_SG_A_T1_plant;RNA_SG_A_T3_insitu;RNA_SG_A_T3_plant
ko:K16153;4;4;2;2;0;0;0;0
ko:K16157;0;0;2;0;6;10;4;4
ko:K16158;0;0;0;0;0;0;0;0
ko:K16159;0;0;0;0;0;0;0;0
ko:K16160;0;0;0;0;0;0;0;0
ko:K16161;1;0;0;0;0;0;0;0
ko:K16163;4;2;2;2;2;0;1;0
ko:K16164;1;2;4;0;2;0;4;0
ko:K16165;17;23;3;7;32;8;14;13
ko:K16167;36;21;14;11;6;8;9;4
ko:K16168;2;4;4;9;0;0;0;0
ko:K16171;27;30;5;21;11;7;0;2
ko:K16173;7;8;36;51;1;2;4;3
ko:K16180;2;7;9;15;2;0;0;0
ko:K16181;2;0;0;0;0;0;0;0
ko:K16182;0;0;1;4;0;0;0;0
ko:K16188;0;0;0;0;0;0;0;0
ko:K16190;1;2;0;4;0;0;0;0
ko:K16191;17;10;26;79;0;1;2;0
ko:K16193;2;4;16;19;0;0;2;2
ko:K16199;0;4;2;4;0;0;2;0
ko:K16200;4;2;0;0;0;0;0;0
ko:K16201;0;0;0;0;0;0;0;0
ko:K16202;0;0;0;0;0;0;0;0
ko:K16203;37;19;16;46;3;1;4;1
ko:K16210;54;21;19;16;6;11;13;2
ko:K16211;26;21;9;12;30;50;54;20
ko:K16212;0;8;0;0;0;4;0;0
ko:K16213;11;2;4;4;3;0;3;2
ko:K16214;0;0;0;0;0;0;0;0
ko:K16215;0;0;0;1;0;0;0;0
ko:K16216;2;1;0;4;8;2;0;0
ko:K16217;0;0;0;0;0;0;0;0
ko:K16218;0;0;0;0;0;0;0;0
ko:K16227;0;0;0;0;0;0;0;0
ko:K16228;0;0;0;0;0;0;0;0
ko:K16229;0;0;0;0;0;0;0;0
ko:K16235;0;0;0;0;0;0;0;0
ko:K16237;2;1;2;0;0;3;0;0
ko:K16238;69;43;16;12;15;7;4;3
ko:K16239;3;16;3;25;1;3;0;3
ko:K16242;0;0;0;0;6;10;4;4
ko:K16243;0;0;25;48;0;2;4;4
ko:K16244;0;0;0;0;0;0;0;0
ko:K16246;11;1;79;35;2;2;6;5
ko:K16247;3;6;2;1;0;0;0;0
ko:K16248;0;0;0;0;0;0;0;0
ko:K16254;6;1;10;4;8;18;16;6
ko:K16255;5;0;0;1;1;0;0;0
ko:K16256;0;0;0;0;0;0;0;0
ko:K16257;1;1;19;15;0;0;0;0
ko:K16258;0;1;0;0;0;0;0;0
ko:K16259;0;0;0;0;0;0;0;2
ko:K16260;0;0;1;0;0;0;1;0
ko:K16263;2;4;0;0;0;0;0;0
ko:K16264;50;27;13;20;8;15;6;6
ko:K16267;8;11;11;9;0;0;3;1
ko:K16268;0;0;0;2;0;0;0;0
ko:K16291;37;46;16;34;8;7;2;3
ko:K16293;0;0;0;0;0;0;0;0
ko:K16294;0;0;0;0;0;0;0;0
ko:K16299;0;3;6;2;0;2;0;0
ko:K16300;2;4;0;8;2;0;0;0
ko:K16301;9;1;4;4;0;1;1;1
ko:K16303;0;0;0;0;1;0;0;2
ko:K16304;0;0;0;0;0;0;0;0
ko:K16305;0;0;0;0;0;0;0;0
ko:K16306;0;0;0;0;4;5;1;2
ko:K16317;0;0;0;0;0;0;0;0
ko:K16318;0;0;0;1;0;0;0;0
ko:K16319;30;33;4;5;7;1;1;8
ko:K16320;0;1;3;1;1;0;1;1
ko:K16321;0;0;0;0;0;0;0;0
ko:K16322;0;0;0;0;0;0;0;0
ko:K16323;7;6;0;0;0;0;0;0
ko:K16327;0;0;0;1;0;0;0;0
ko:K16328;0;0;0;0;3;9;82;22
ko:K16329;29;27;11;8;6;4;1;6
ko:K16331;0;0;0;0;0;0;0;0
ko:K16345;0;0;0;0;0;0;0;0
ko:K16346;0;0;0;0;0;0;0;0
ko:K16347;0;8;3;2;0;0;0;0
ko:K16348;0;8;3;2;1;4;1;0
ko:K16363;26;33;32;41;10;9;4;3
ko:K16370;9;8;3;10;1;4;3;2
ko:K16371;4;2;0;0;0;0;0;0
ko:K16378;0;0;0;0;0;0;0;0
ko:K16380;0;0;0;0;0;0;0;0
ko:K16381;0;0;0;0;0;0;0;0
ko:K16382;0;0;0;0;0;0;0;0
ko:K16383;0;0;0;0;0;0;0;0
ko:K16384;0;0;0;0;0;2;0;0
ko:K16386;0;0;0;0;0;0;0;0
ko:K16388;0;0;0;0;0;0;0;0
ko:K16389;0;0;0;0;0;0;0;0
ko:K16392;0;1;0;0;0;0;0;0
ko:K16393;0;0;0;0;0;0;0;0
ko:K16394;0;0;0;0;0;0;0;0
ko:K16395;1;0;2;0;0;0;0;0
ko:K16396;0;0;5;0;1;0;0;0
ko:K16397;0;0;5;0;1;0;0;0
ko:K16398;2;0;10;4;0;2;0;0
ko:K16400;0;0;0;0;0;0;0;0
ko:K16416;240;172;7;17;0;3;1;7
ko:K16417;2;0;10;4;0;2;0;0
ko:K16420;0;0;0;0;0;0;0;0
ko:K16421;33;49;3;22;0;4;6;4
ko:K16422;3;4;17;25;4;0;2;0
ko:K16423;0;0;2;0;3;11;8;7
ko:K16424;0;0;0;2;2;0;0;0
ko:K16425;0;0;2;2;0;0;0;0
ko:K16426;0;0;0;0;0;0;0;0
ko:K16427;0;0;0;0;0;0;0;0
ko:K16428;0;0;2;0;0;0;0;0
ko:K16429;0;0;2;0;0;0;0;1
ko:K16430;0;0;0;0;0;0;0;0
ko:K16431;0;0;0;0;0;0;0;0
ko:K16432;0;0;0;0;0;0;0;0
ko:K16434;7;2;4;11;4;0;0;0
ko:K16435;6;0;0;0;0;0;0;0
ko:K16436;0;0;0;0;0;0;0;0
ko:K16437;0;0;0;0;2;0;1;0
ko:K16438;0;0;0;0;0;2;0;2
ko:K16439;1;2;2;2;0;0;0;0
ko:K16440;0;0;0;0;0;0;0;0
ko:K16444;2;2;0;0;0;2;1;0
ko:K16509;0;0;0;0;0;0;2;0
ko:K16511;0;0;0;0;0;0;0;0
ko:K16514;2;2;2;0;3;2;1;3
ko:K16515;0;0;0;0;0;5;0;0
ko:K16516;0;0;0;0;0;0;0;0
ko:K16552;24;20;13;12;3;7;4;2
ko:K16553;0;0;0;0;0;0;0;0
ko:K16554;207;121;204;258;62;51;59;51
ko:K16555;3;0;2;1;0;0;0;0
ko:K16556;0;0;0;0;0;0;0;0
ko:K16557;0;0;2;2;0;0;1;2
ko:K16558;2;0;0;0;0;0;0;0
ko:K16559;0;0;0;0;0;1;2;0
ko:K16560;0;0;0;0;0;0;0;0
ko:K16561;0;0;0;0;0;0;0;0
ko:K16562;0;0;0;0;0;0;0;0
ko:K16563;0;0;0;1;0;0;0;0
ko:K16564;0;0;0;0;0;0;0;0
ko:K16565;0;0;0;0;0;0;0;0
ko:K16566;29;6;2;3;1;0;2;0
ko:K16567;2;0;0;0;3;0;0;0
ko:K16568;0;0;2;0;1;0;2;0
ko:K16593;2;0;0;0;0;0;0;0
ko:K16637;0;2;0;0;0;0;0;0
ko:K16638;0;0;0;0;0;0;0;0
ko:K16645;0;0;241;75;17;10;19;13
ko:K16647;6;1;2;2;0;4;0;0
ko:K16648;10;9;6;2;0;5;0;0
ko:K16649;1;2;13;21;1;3;0;1
ko:K16650;12;19;6;5;7;11;4;5
ko:K16651;0;0;0;0;0;0;2;0
ko:K16652;12;9;7;12;0;2;2;1
ko:K16653;8;6;2;22;5;11;10;7
ko:K16692;261;157;93;134;105;27;19;33
ko:K16693;0;0;0;0;0;0;0;0
ko:K16694;0;0;0;0;0;0;0;0
ko:K16695;10;5;0;2;0;0;0;2
ko:K16697;0;0;0;0;0;0;0;0
ko:K16698;0;0;0;0;0;2;0;0
ko:K16699;0;0;0;0;0;0;0;0
ko:K16700;0;0;2;0;0;0;0;0
ko:K16701;9;2;0;0;0;0;0;0
ko:K16702;0;0;0;0;1;0;0;0
ko:K16703;13;1;2;1;0;0;0;0
ko:K16704;0;2;2;4;0;0;0;0
ko:K16705;7;0;0;0;0;0;0;0
ko:K16706;0;0;0;0;0;0;0;0
ko:K16707;0;0;0;0;0;0;0;0
ko:K16710;4;2;8;5;2;1;4;0
ko:K16712;0;0;0;0;0;0;0;0
ko:K16783;3;0;2;0;0;0;0;0
ko:K16784;8;7;4;0;0;1;0;0
ko:K16785;30;10;10;15;1;6;2;2
ko:K16786;51;46;37;33;3;7;7;2
ko:K16787;55;45;44;43;5;8;5;2
ko:K16788;0;0;0;0;0;1;0;0
ko:K16789;4;0;0;0;0;0;0;0
ko:K16792;0;1;0;3;0;1;0;0
ko:K16793;2;0;2;0;0;0;0;0
ko:K16838;1;0;0;0;0;0;0;0
ko:K16839;0;0;0;0;0;6;1;4
ko:K16840;4;0;6;5;8;3;1;2
ko:K16841;10;2;9;17;4;2;0;0
ko:K16842;5;6;0;0;5;0;0;0
ko:K16843;19;15;26;28;2;2;2;0
ko:K16844;0;0;1;11;1;3;0;0
ko:K16845;2;1;0;5;2;0;0;0
ko:K16846;24;11;10;30;23;3;9;9
ko:K16849;8;2;0;0;0;0;0;0
ko:K16850;11;9;10;13;14;0;2;1
ko:K16855;0;0;0;0;0;0;0;0
ko:K16856;1;4;0;0;5;3;2;3
ko:K16868;7;11;3;1;2;0;0;0
ko:K16869;2;2;18;49;0;0;0;0
ko:K16870;6;6;2;1;0;1;1;0
ko:K16871;21;26;13;5;36;7;6;2
ko:K16872;1;2;18;13;2;0;0;0
ko:K16873;0;0;0;0;2;1;0;4
ko:K16874;0;0;2;2;1;0;1;1
ko:K16875;0;0;0;0;0;0;0;0
ko:K16876;117;88;13;16;1;2;0;0
ko:K16877;11;6;0;0;4;1;2;5
ko:K16878;0;0;0;0;0;0;0;0
ko:K16879;0;0;0;0;4;0;0;2
ko:K16880;2;0;2;2;0;0;1;0
ko:K16881;146;73;40;42;6;18;4;6
ko:K16885;0;0;0;0;0;0;0;0
ko:K16886;0;0;0;0;0;0;0;0
ko:K16887;0;0;0;0;0;0;0;0
ko:K16898;29;16;24;42;10;9;0;0
ko:K16899;15;20;27;37;6;1;0;2
ko:K16901;2;1;0;0;0;2;0;0
ko:K16902;0;0;0;0;0;0;0;0
ko:K16905;4;0;2;3;0;0;0;0
ko:K16906;2;1;0;0;0;0;0;0
ko:K16907;2;0;0;0;0;0;0;0
ko:K16915;7;9;10;15;0;0;0;0
ko:K16918;0;0;0;0;1;0;0;0
ko:K16919;0;0;0;0;0;0;0;0
ko:K16921;0;0;0;0;0;0;0;0
ko:K16922;45;28;45;61;29;44;29;22
ko:K16923;9;7;2;0;0;0;1;4
ko:K16924;2;4;0;4;0;1;0;0
ko:K16925;6;0;0;1;0;0;0;0
ko:K16927;2;0;0;0;0;2;0;0
ko:K16928;8;4;0;3;3;0;0;0
ko:K16936;0;0;0;0;0;0;0;0
ko:K16937;31;14;4;9;36;3;7;6
ko:K16950;0;0;0;0;0;5;0;0
ko:K16951;0;0;0;0;0;0;0;0
ko:K16953;1;0;28;33;0;0;0;0
ko:K16955;0;0;0;0;0;0;0;0
ko:K16958;0;0;0;0;0;0;0;0
ko:K16959;0;0;0;0;0;0;0;0
ko:K16960;0;0;0;0;0;0;0;0
ko:K16961;0;0;0;0;0;0;0;0
ko:K16962;0;0;0;0;0;0;0;0
ko:K16963;0;0;0;0;0;0;0;0
ko:K16964;0;0;78;195;32;66;197;45
ko:K16965;2;0;59;216;9;30;150;26
ko:K16966;0;0;14;74;0;0;2;0
ko:K16968;2;3;2;0;0;1;3;3
ko:K16969;0;0;0;0;0;0;0;0
ko:K17048;2;0;59;216;9;30;150;26
ko:K17049;0;0;14;74;0;0;2;0
ko:K17050;0;0;78;195;547;66;197;45
ko:K17051;2;0;59;216;255;30;150;26
ko:K17052;0;0;37;118;5;10;80;9
ko:K17060;0;0;0;0;0;0;0;0
ko:K17061;0;0;0;0;0;0;0;0
ko:K17062;0;0;0;0;0;0;0;0
ko:K17063;0;0;0;0;0;0;0;0
ko:K17067;47;28;317;582;20;25;35;26
ko:K17071;0;0;0;0;0;0;0;0
ko:K17073;0;4;0;0;1;9;1;0
ko:K17074;3;2;0;0;0;0;0;1
ko:K17076;6;7;4;0;0;2;0;0
ko:K17103;57;55;24;68;29;16;8;5
ko:K17104;0;0;0;0;0;1;0;0
ko:K17105;4;5;0;2;0;0;0;0
ko:K17108;8;4;4;2;4;4;4;2
ko:K17202;31;22;17;32;4;6;2;7
ko:K17203;0;2;0;3;3;3;4;0
ko:K17204;7;2;2;5;0;4;4;0
ko:K17205;5;0;8;0;0;4;0;0
ko:K17206;1;0;0;2;0;0;1;0
ko:K17207;0;1;0;0;1;2;0;0
ko:K17208;7;8;0;0;0;0;0;0
ko:K17209;16;0;2;0;1;4;4;3
ko:K17210;12;6;4;4;0;1;0;0
ko:K17213;48;36;56;80;48;21;7;0
ko:K17214;2;1;1;0;2;2;2;0
ko:K17215;5;0;0;2;1;1;1;0
ko:K17216;0;2;1;4;0;0;0;0
ko:K17217;9;2;13;27;3;4;8;3
ko:K17218;15;21;6;18;8;8;7;2
ko:K17222;20;28;8;12;1;1;0;1
ko:K17223;21;22;14;6;9;7;11;8
ko:K17224;7;11;4;4;6;0;0;0
ko:K17225;14;7;27;46;3;6;9;3
ko:K17226;11;16;10;9;12;5;0;3
ko:K17227;2;2;2;4;2;0;1;2
ko:K17228;34;16;25;9;2;12;2;5
ko:K17229;0;0;0;0;0;0;4;2
ko:K17230;0;0;28;23;2;0;4;2
ko:K17234;36;18;24;13;2;2;0;0
ko:K17235;104;30;11;13;1;0;1;0
ko:K17236;4;0;1;2;0;0;0;0
ko:K17237;17;9;1;0;0;0;0;0
ko:K17238;11;2;6;5;0;0;0;1
ko:K17239;4;0;0;1;0;0;0;0
ko:K17240;4;2;0;0;0;0;0;0
ko:K17241;4;3;2;0;0;0;0;0
ko:K17242;59;19;4;0;3;0;1;0
ko:K17243;13;1;0;2;2;3;0;6
ko:K17244;30;26;19;10;7;2;4;2
ko:K17245;3;5;6;14;2;0;0;0
ko:K17246;9;4;4;4;0;1;2;0
ko:K17247;33;30;11;16;6;3;0;2
ko:K17248;0;0;0;0;0;0;0;0
ko:K17249;0;0;0;0;0;0;0;0
ko:K17250;0;0;0;0;0;0;0;0
ko:K17266;0;4;1;2;0;0;0;0
ko:K17285;131;80;34;69;39;33;14;19
ko:K17292;0;0;0;0;0;0;0;0
ko:K17311;92;33;7;11;1;2;0;0
ko:K17312;10;0;2;0;0;0;0;0
ko:K17313;15;0;0;2;0;0;1;0
ko:K17314;0;0;0;0;0;0;0;0
ko:K17315;80;39;77;88;37;27;25;10
ko:K17316;138;56;27;16;2;3;2;4
ko:K17317;18;14;4;1;1;0;0;0
ko:K17318;52;20;8;12;12;12;12;11
ko:K17319;8;3;0;3;4;4;12;5
ko:K17320;8;1;2;4;0;7;6;0
ko:K17321;227;212;134;260;135;52;48;47
ko:K17322;5;6;15;15;5;1;2;0
ko:K17323;13;12;11;11;7;5;4;1
ko:K17324;8;18;4;16;13;0;2;2
ko:K17325;9;19;11;7;4;0;0;3
ko:K17326;0;0;0;0;5;11;5;10
ko:K17327;0;0;0;0;5;9;11;0
ko:K17328;0;0;0;0;2;1;10;0
ko:K17329;23;7;3;5;0;14;3;6
ko:K17330;3;2;2;6;0;4;6;2
ko:K17331;0;0;0;0;10;13;1;3
ko:K17362;2;0;0;0;0;0;0;0
ko:K17364;0;0;0;0;0;0;0;0
ko:K17398;0;0;0;0;0;0;0;0
ko:K17414;0;0;0;0;0;0;0;0
ko:K17440;0;2;0;0;0;0;0;0
ko:K17462;0;4;2;0;0;1;4;1
ko:K17463;0;0;0;0;0;0;0;0
ko:K17464;0;0;0;0;0;0;0;0
ko:K17468;0;0;2;6;0;0;0;0
ko:K17474;0;2;2;0;0;0;0;0
ko:K17476;0;0;0;0;0;2;0;1
ko:K17483;0;0;0;0;0;0;0;0
ko:K17488;2;0;0;0;0;0;0;0
ko:K17489;33;31;12;39;5;5;5;1
ko:K17490;0;0;0;0;0;0;0;0
ko:K17592;0;0;0;0;0;0;0;0
ko:K17623;0;0;0;0;0;0;0;0
ko:K17624;8;7;3;8;6;6;2;4
ko:K17640;0;2;0;0;3;2;1;1
ko:K17641;0;0;0;0;0;0;0;0
ko:K17662;1;4;1;2;1;1;0;1
ko:K17675;14;2;16;27;26;10;4;4
ko:K17680;11;5;5;4;4;2;2;0
ko:K17681;4;5;2;0;2;0;1;0
ko:K17686;650;387;253;280;276;52;36;36
ko:K17713;117;194;178;175;32;12;5;8
ko:K17716;25;14;4;6;5;0;4;0
ko:K17717;0;0;4;13;0;0;0;0
ko:K17722;18;15;15;39;10;1;2;4
ko:K17723;23;34;62;115;31;15;9;23
ko:K17733;173;451;33;49;8;2;0;1
ko:K17734;235;217;177;194;13;70;34;20
ko:K17735;4;5;4;0;6;0;0;0
ko:K17736;0;2;0;0;2;0;0;0
ko:K17737;0;0;0;0;0;0;0;0
ko:K17743;0;0;0;1;0;0;0;0
ko:K17744;0;0;4;2;0;3;0;0
ko:K17749;22;30;0;9;4;6;4;7
ko:K17752;220;144;13;36;12;31;16;4
ko:K17754;0;0;0;0;0;0;0;0
ko:K17755;0;0;0;0;1;0;0;0
ko:K17758;82;70;44;51;28;26;10;6
ko:K17759;110;70;43;47;20;20;6;3
ko:K17760;44;28;12;37;7;2;12;1
ko:K17762;4;4;2;7;3;2;12;0
ko:K17763;105;58;59;86;18;17;26;22
ko:K17810;0;0;0;0;0;0;0;0
ko:K17811;0;0;9;8;0;0;0;0
ko:K17816;0;0;0;0;0;0;0;0
ko:K17818;0;0;0;0;0;0;0;1
ko:K17828;78;36;33;31;21;10;5;8
ko:K17829;42;17;70;24;20;23;26;18
ko:K17830;0;2;1;0;7;2;2;0
ko:K17831;2;0;0;0;0;0;0;0
ko:K17835;0;0;0;0;0;1;0;0
ko:K17836;103;75;56;88;19;14;12;7
ko:K17837;21;20;29;32;10;3;1;0
ko:K17838;2;4;1;11;0;0;0;0
ko:K17840;59;43;4;0;13;2;1;0
ko:K17850;0;0;0;0;0;0;0;0
ko:K17865;25;9;7;9;8;3;3;1
ko:K17867;8;2;0;2;0;0;0;0
ko:K17876;0;0;0;0;0;0;0;0
ko:K17880;0;2;0;4;0;1;0;0
ko:K17882;15;11;0;3;2;0;0;0
ko:K17883;0;0;8;4;4;1;2;2
ko:K17884;0;2;2;3;0;4;6;0
ko:K17892;1;2;0;0;0;2;0;1
ko:K17893;0;2;0;2;51;2;2;2
ko:K17898;0;0;0;0;0;0;0;0
ko:K17910;0;1;2;0;0;0;0;0
ko:K17938;2;0;1;3;3;0;0;2
ko:K17940;0;0;0;0;0;0;0;0
ko:K17947;127;139;67;104;30;63;34;22
ko:K17948;0;0;0;2;0;0;0;0
ko:K17950;7;2;12;23;4;1;0;0
ko:K17989;4;8;0;4;2;2;0;0
ko:K17991;0;0;0;0;0;0;0;0
ko:K17992;0;0;5;0;0;0;0;0
ko:K17995;0;0;0;0;0;0;0;0
ko:K18002;0;0;0;3;0;0;0;0
ko:K18003;0;0;0;0;0;0;0;0
ko:K18005;0;0;0;0;0;0;0;0
ko:K18006;0;0;0;0;0;0;0;0
ko:K18007;0;0;0;0;0;0;0;0
ko:K18009;3;0;1;3;2;3;2;1
ko:K18011;5;16;3;1;2;0;1;3
ko:K18012;6;8;1;8;2;2;0;0
ko:K18013;12;16;4;10;8;0;4;7
ko:K18014;2;0;0;3;0;0;0;0
ko:K18023;0;0;0;0;0;0;0;0
ko:K18028;0;2;2;0;1;0;1;0
ko:K18029;0;3;1;0;0;0;3;0
ko:K18030;0;4;0;0;0;0;0;0
ko:K18031;0;0;0;0;0;4;0;0
ko:K18049;0;0;0;0;0;0;0;0
ko:K18055;0;0;0;0;0;0;0;0
ko:K18056;10;5;4;1;0;2;0;1
ko:K18058;0;0;0;0;0;0;2;0
ko:K18063;0;0;0;0;0;0;0;0
ko:K18067;2;0;0;0;0;0;1;0
ko:K18068;2;8;7;25;12;7;6;4
ko:K18069;0;0;0;0;0;0;0;0
ko:K18071;0;0;0;0;0;0;0;0
ko:K18072;0;0;0;0;0;0;0;0
ko:K18073;0;0;0;0;0;2;0;0
ko:K18074;0;4;2;5;5;1;0;8
ko:K18075;0;0;4;0;1;0;0;0
ko:K18076;0;0;0;0;0;0;0;0
ko:K18077;0;0;3;0;0;0;0;0
ko:K18087;0;0;0;0;0;0;0;0
ko:K18091;4;4;0;2;1;0;1;2
ko:K18092;23;15;10;4;4;4;8;2
ko:K18093;2;8;0;3;0;3;2;0
ko:K18094;0;0;0;0;0;0;0;0
ko:K18095;0;0;0;0;0;0;0;0
ko:K18096;1;0;0;0;0;4;0;2
ko:K18098;2;2;0;0;2;2;0;1
ko:K18099;0;0;0;0;0;0;0;0
ko:K18100;0;0;0;0;0;0;0;0
ko:K18101;0;6;1;7;0;0;0;0
ko:K18104;9;6;2;0;0;0;0;0
ko:K18106;0;0;0;0;0;0;0;0
ko:K18109;0;0;0;0;0;0;0;0
ko:K18115;1;0;0;0;0;0;0;0
ko:K18118;0;0;0;0;4;9;14;6
ko:K18119;10;2;2;0;0;2;5;5
ko:K18120;0;0;0;0;0;0;0;0
ko:K18121;0;0;0;3;0;0;0;0
ko:K18122;13;1;0;0;0;0;0;0
ko:K18123;0;2;8;2;0;0;2;0
ko:K18124;0;0;0;0;0;2;1;0
ko:K18125;0;0;0;0;0;2;1;0
ko:K18129;0;0;0;0;0;0;0;0
ko:K18133;0;0;0;0;0;2;0;0
ko:K18135;0;0;0;0;0;0;0;0
ko:K18136;0;0;0;0;0;0;0;0
ko:K18138;79;91;54;113;109;42;22;16
ko:K18139;2;2;0;0;6;0;0;0
ko:K18141;0;0;0;0;0;0;0;0
ko:K18142;0;0;0;0;4;2;0;0
ko:K18143;18;5;0;2;0;0;0;0
ko:K18144;10;1;4;3;0;0;0;0
ko:K18145;0;0;0;0;0;0;0;0
ko:K18146;1;0;0;0;4;2;4;0
ko:K18147;0;0;0;0;0;0;0;0
ko:K18148;7;13;0;0;3;1;0;0
ko:K18149;0;0;0;0;0;0;0;0
ko:K18151;5;0;0;0;0;0;0;0
ko:K18163;6;2;0;2;1;0;0;0
ko:K18164;8;2;0;4;0;2;0;0
ko:K18195;1;1;28;77;7;2;4;2
ko:K18197;6;0;10;17;17;8;4;0
ko:K18198;2;0;0;0;0;2;0;0
ko:K18199;7;2;13;14;9;0;0;0
ko:K18205;0;0;0;0;0;0;0;0
ko:K18206;2;3;0;1;0;6;0;1
ko:K18209;0;0;0;0;0;0;0;0
ko:K18214;0;0;0;0;0;0;0;0
ko:K18215;2;0;0;0;3;0;0;0
ko:K18216;0;0;0;0;0;0;0;0
ko:K18217;11;0;2;0;1;0;0;0
ko:K18219;0;0;0;0;0;0;0;0
ko:K18220;12;9;2;6;2;0;0;3
ko:K18221;0;0;0;0;0;0;0;0
ko:K18223;647;305;1277;1220;577;1130;994;859
ko:K18224;78;51;270;314;67;168;127;141
ko:K18225;23;5;266;275;51;96;56;47
ko:K18226;3;0;48;54;27;46;32;22
ko:K18227;0;0;0;2;2;0;0;0
ko:K18229;4;2;2;2;0;0;0;0
ko:K18230;1;2;0;4;0;0;0;0
ko:K18231;0;0;0;0;0;0;0;0
ko:K18232;8;2;4;0;2;1;2;2
ko:K18233;39;18;3;2;5;5;2;1
ko:K18234;2;4;0;0;1;0;0;0
ko:K18235;19;14;2;10;10;3;13;11
ko:K18236;4;0;0;0;0;2;1;0
ko:K18239;0;0;0;0;0;0;0;0
ko:K18240;9;14;0;0;0;0;0;2
ko:K18242;0;8;2;5;3;1;0;2
ko:K18243;0;1;3;1;1;0;1;1
ko:K18244;44;16;6;11;2;5;3;2
ko:K18248;0;0;0;0;0;0;0;0
ko:K18249;0;0;0;2;2;0;0;0
ko:K18251;2;0;0;0;0;0;0;0
ko:K18252;0;0;2;0;0;0;0;0
ko:K18253;0;0;0;0;0;0;0;0
ko:K18254;0;0;0;0;0;0;0;0
ko:K18255;4;0;0;0;0;0;0;0
ko:K18256;0;2;0;0;0;0;0;0
ko:K18257;0;0;0;0;0;0;0;0
ko:K18258;0;0;0;3;0;1;0;0
ko:K18275;0;0;6;1;0;0;0;0
ko:K18276;0;0;0;0;0;0;0;0
ko:K18277;38;7;14;17;4;1;0;0
ko:K18284;0;0;0;0;0;0;0;0
ko:K18285;24;17;49;63;41;19;35;14
ko:K18286;7;16;5;3;2;0;2;3
ko:K18287;2;4;2;4;0;0;0;0
ko:K18288;6;0;0;0;0;0;0;0
ko:K18289;4;0;0;0;0;0;0;0
ko:K18290;6;0;1;5;0;0;2;1
ko:K18291;0;0;2;2;4;0;1;0
ko:K18292;0;0;0;4;1;1;0;2
ko:K18293;0;0;0;2;0;0;0;0
ko:K18295;0;0;0;0;0;0;0;0
ko:K18296;0;0;0;0;0;0;0;0
ko:K18297;0;0;0;0;0;0;2;0
ko:K18298;0;0;0;0;0;2;2;0
ko:K18299;0;2;1;3;6;3;7;2
ko:K18300;0;0;0;0;0;1;2;0
ko:K18301;0;0;0;3;5;4;2;0
ko:K18302;32;22;5;2;0;0;1;0
ko:K18303;43;39;0;1;7;6;0;0
ko:K18304;0;0;0;0;1;3;0;2
ko:K18305;0;0;0;0;0;0;0;0
ko:K18306;2;2;0;10;0;0;1;1
ko:K18307;9;2;9;30;5;0;2;4
ko:K18308;0;0;0;0;0;0;0;0
ko:K18310;8;3;0;0;0;0;1;0
ko:K18313;12;2;0;0;0;0;0;0
ko:K18314;13;2;4;0;2;0;1;0
ko:K18315;0;0;0;0;0;0;0;0
ko:K18316;11;4;0;0;0;0;0;0
ko:K18320;7;2;1;0;0;2;2;0
ko:K18321;0;0;0;0;0;0;0;0
ko:K18322;0;0;0;0;0;0;0;0
ko:K18323;0;0;0;0;0;0;0;0
ko:K18324;0;0;0;0;2;0;0;0
ko:K18325;0;0;0;0;0;0;0;0
ko:K18326;0;0;0;0;0;0;0;0
ko:K18330;0;0;0;0;0;0;0;0
ko:K18331;11;5;6;15;7;13;4;4
ko:K18332;0;0;0;0;0;0;0;0
ko:K18333;2;0;0;0;0;0;0;0
ko:K18334;19;23;9;3;4;12;5;3
ko:K18335;5;8;4;4;5;1;3;1
ko:K18336;1;6;0;1;8;3;4;7
ko:K18337;2;3;2;1;1;1;0;0
ko:K18344;0;0;0;0;0;0;0;0
ko:K18346;9;8;28;20;0;1;0;3
ko:K18347;0;0;0;0;0;0;0;0
ko:K18348;0;0;0;0;0;0;0;0
ko:K18350;11;7;7;4;0;5;10;4
ko:K18351;2;0;2;0;1;2;5;2
ko:K18352;0;0;0;0;2;0;1;0
ko:K18353;0;0;0;2;0;0;0;0
ko:K18354;44;16;0;2;4;4;0;0
ko:K18355;0;0;0;0;23;0;0;4
ko:K18356;17;6;0;0;15;0;0;0
ko:K18357;0;0;0;0;22;0;0;0
ko:K18358;0;0;0;0;5;0;0;0
ko:K18359;0;0;0;0;10;0;0;0
ko:K18360;0;0;0;0;1;0;0;0
ko:K18361;0;0;0;0;63;0;0;2
ko:K18362;2;0;0;0;7;0;0;3
ko:K18363;0;0;0;0;5;0;0;0
ko:K18364;0;0;0;0;0;0;0;0
ko:K18365;0;0;2;0;0;0;0;0
ko:K18366;0;0;0;0;0;0;0;0
ko:K18367;0;0;0;0;1;0;0;0
ko:K18369;2;2;93;28;50;39;20;19
ko:K18370;0;0;167;190;6;1;18;3
ko:K18371;0;0;0;2;3;1;0;0
ko:K18372;16;12;8;4;7;8;3;2
ko:K18376;1;0;0;0;0;0;2;0
ko:K18382;118;82;14;21;53;77;33;42
ko:K18383;0;0;0;8;2;1;3;0
ko:K18399;0;0;0;0;0;0;0;0
ko:K18425;7;8;2;0;2;9;2;4
